State,Candidate,Party,Votes,Vote share,Electoral votes,Stats,Winning Margin
Kentucky,Donald Trump wins,Republican (incumbent),1337491,64.50%,8,,31.03
Kentucky,Kamala Harris,Democrat,704043,33.90%,0,,
Louisiana,Donald Trump wins,Republican (incumbent),1208505,60.20%,8,,22.36
Louisiana,Kamala Harris,Democrat,766870,38.20%,0,,
Massachusetts,Kamala Harris wins,Democrat (incumbent),2126545,61.20%,11,,25.91
Massachusetts,Donald Trump,Republican,1251308,36.00%,0,,
Maryland,Kamala Harris wins,Democrat (incumbent),1902577,62.60%,10,,29.51
Maryland,Donald Trump,Republican,1035550,34.10%,0,,
Maine,Kamala Harris wins,Democrat (incumbent),430041,52.20%,3,,6.59
Maine,Donald Trump,Republican,376851,45.70%,1,,
Michigan,Donald Trump wins,Republican,2816636,49.70%,15,,1.44
Michigan,Kamala Harris,Democrat (incumbent),2736533,48.30%,0,,
Minnesota,Kamala Harris wins,Democrat (incumbent),1656979,50.90%,10,,4.34
Minnesota,Donald Trump,Republican,1519032,46.70%,0,,
Missouri,Donald Trump wins,Republican (incumbent),1751986,58.50%,10,,18.67
Missouri,Kamala Harris,Democrat,1200599,40.10%,0,,
Mississippi,Donald Trump wins,Republican (incumbent),747744,60.90%,6,,23.15
Mississippi,Kamala Harris,Democrat,466668,38.00%,0,,
Montana,Donald Trump wins,Republican (incumbent),352079,58.40%,4,,20.58
Montana,Kamala Harris,Democrat,231906,38.50%,0,,
North Carolina,Donald Trump wins,Republican (incumbent),2898423,50.90%,16,,3.26
North Carolina,Kamala Harris,Democrat,2715375,47.60%,0,,
North Dakota,Donald Trump wins,Republican (incumbent),246505,67.00%,3,,37.39
North Dakota,Kamala Harris,Democrat,112327,30.50%,0,,
Nebraska,Donald Trump wins,Republican (incumbent),564816,59.30%,4,,20.84
Nebraska,Kamala Harris,Democrat,369995,38.90%,1,,
New Hampshire,Kamala Harris wins,Democrat (incumbent),418488,50.70%,4,,2.82
New Hampshire,Donald Trump,Republican,395523,47.90%,0,,
New Jersey,Kamala Harris wins,Democrat (incumbent),2220713,51.80%,14,,6.03
New Jersey,Donald Trump,Republican,1968215,45.90%,0,,
New Mexico,Kamala Harris wins,Democrat (incumbent),478802,51.90%,5,,6.14
New Mexico,Donald Trump,Republican,423391,45.90%,0,,
Nevada,Donald Trump wins,Republican,751205,50.60%,6,,3.16
Nevada,Kamala Harris,Democrat (incumbent),705197,47.50%,0,,
New York,Kamala Harris wins,Democrat (incumbent),4619195,55.90%,28,,12.69
New York,Donald Trump,Republican,3578899,43.30%,0,,
Ohio,Donald Trump wins,Republican (incumbent),3180116,55.10%,17,,11.31
Ohio,Kamala Harris,Democrat,2533699,43.90%,0,,
Oklahoma,Donald Trump wins,Republican (incumbent),1036213,66.20%,7,,34.94
Oklahoma,Kamala Harris,Democrat,499599,31.90%,0,,
Oregon,Kamala Harris wins,Democrat (incumbent),1240600,55.30%,8,,14.87
Oregon,Donald Trump,Republican,919480,41.00%,0,,
Pennsylvania,Donald Trump wins,Republican,3543308,50.40%,19,,1.73
Pennsylvania,Kamala Harris,Democrat (incumbent),3423042,48.70%,0,,
Rhode Island,Kamala Harris wins,Democrat (incumbent),283750,55.40%,4,,13.95
Rhode Island,Donald Trump,Republican,214291,41.90%,0,,
South Carolina,Donald Trump wins,Republican (incumbent),1483747,58.20%,9,,18.12
South Carolina,Kamala Harris,Democrat,1028452,40.40%,0,,
South Dakota,Donald Trump wins,Republican (incumbent),272081,63.40%,3,,29.89
South Dakota,Kamala Harris,Democrat,146859,34.20%,0,,
Tennessee,Donald Trump wins,Republican (incumbent),1966865,64.20%,11,,30.12
Tennessee,Kamala Harris,Democrat,1056265,34.50%,0,,
Texas,Donald Trump wins,Republican (incumbent),6393597,56.10%,40,,13.88
Texas,Kamala Harris,Democrat,4835250,42.50%,0,,
Utah,Donald Trump wins,Republican (incumbent),883818,59.40%,6,,22.21
Utah,Kamala Harris,Democrat,562566,37.80%,0,,
Virginia,Kamala Harris wins,Democrat (incumbent),2333778,51.80%,13,,5.89
Virginia,Donald Trump,Republican,2074097,46.10%,0,,
Vermont,Kamala Harris wins,Democrat (incumbent),235791,63.80%,3,,32.77
Vermont,Donald Trump,Republican,119395,32.30%,0,,
Washington,Kamala Harris wins,Democrat (incumbent),2245849,57.20%,12,,18.93
Washington,Donald Trump,Republican,1530923,39.00%,0,,
Wisconsin,Donald Trump wins,Republican,1697626,49.60%,10,,0.87
Wisconsin,Kamala Harris,Democrat (incumbent),1668229,48.70%,0,,
West Virginia,Donald Trump wins,Republican (incumbent),533556,70.00%,4,,42.69
West Virginia,Kamala Harris,Democrat,214309,28.10%,0,,
Wyoming,Donald Trump wins,Republican (incumbent),192633,71.60%,3,,46.96
Wyoming,Kamala Harris,Democrat,69527,25.80%,0,,
